pageRefs,normalizedText,moneyValue,dateValue,mentionText,id,confidence
[4],,,,"28/10/23 UPI-RAJ SUPER MARKET-PAYTMQR281005050101
0000330141457100 85.00",68,0.78038675
[1],,,,"18/11/23 UPI-RAJ SUPER MARKET-PAYTMQR281005050101
0000332296115597 154.00",68,0.82239759
[2],,,,MAURYA-PAYTMQR1ID0SX2D5Z@PAY,69,0.80181825
[],,,,"23/04/25 UPI-KOMAL 3,000.00",69,0.71486962
[4],,,,"OKSBI-SBIN0001629-829784376795-PAYMENT F
ROM PHONE",69,0.78689885
[2],,,,SINGH-PAYTMQR167LUN@PAYTM-YESBOP,69,0.76270926
[3],,,,MARKET-PAYTMQR974FLW3ZSP@P,69,0.77152091
[6],,,,KUMAR-PAYTMQR281005050101LOBV,69,0.78790843
[2],,,,"22/08/22 POS 416021XXXXXX9659 GAJRAJ BAKERY
0000223410411525 22/08/22 55.00",69,0.81399548
[2],,,,30/12/23 UPI-UBER INDIA SYSTEMS 108.29,70,0.79279858
[5],,,,"25/10/24 UPI-AMIT KUMAR-7767984663@YBL-SBIN00104
0000018705713836 1,500.00",70,0.8227731
[2],,,,"23/02/24 UPI-RAJ SUPER MARKET-PAYTMQR281005050101
0000405498372761 70.00",71,0.77972656
[],,,,17/12/24 IMPS P2P 433816313012#03/12/2024 031224 5.90,71,0.78337836
[2],,,,"IMPS-421710336390-ROHIT KUMAR-DBSS-XXXXX
0000421710336390 7,000.00",71,0.75022483
[7],,,,"MARKET-PAYTMQR1NMKJI9DB6@P
AYTM-YESB0PTMUPI-427181772404-PAY BY WHA
TSAPP",71,0.77053308
[3],,,,"22/12/22 UPI-MAHESHKUMAR N
0000235665311861 50.00",71,0.811019
[3],,,,"HOTEL-PAYTMQR281005050101G7J
NMXT9VFWI@PAYTM-PYTM0123456-231511082359",71,0.78485203
[],,,,"BHIS-PAYTMQR1JKBLA3R
38@PAYTM-PYTM0123456-401412210279-UPI",72,0.82937384
[6],,,,"22/03/25 UPI-AMIT KUMAR-7767984663 IDFC@AXL-IDFB00
0000532843891544 2,000.00",72,0.78525007
[8],,,,GOSAVI-PAYTMQR1T14ZA1TKW,72,0.75442654
[5],,,,"HOTEL-PAYTMQR1B8IUX69X1@PAYT
M-PYTM0123456-333340776879-UPI",72,0.80736947
[1],,,,06/05/25 UPI-JAY 06/05/25 25.00,73,0.70989478
[7],,,,"IMPS-427117320013-ROHIT KUMAR-DBSS-XXXXX
0000427117320013 7,000.00",73,0.76715147
[2],,,,"08/11/22 UPI-KOMAL 10,000.00",73,0.78145617
[9],,,,"07/01/24 UPI-HOTEL GREEN PARK
0000400772202933 100.00",74,0.78889388
[1],,,,"15/01/24 UPI-RAJ SUPER MARKET-PAYTMQR281005050101
0000401547480611 150.00",74,0.82335645
[3],,,,01/10/23 CREDIT INTEREST CAPITALISED 30/09/23 36.00,74,0.75294232
[5],,,,"27/10/24 UPI-JAVED IBRAHIM PATHAN-8600364901@IBL-
0000204512129736 800.00",74,0.8229357
[3],,,,"ENTERPRISES-PAYTMQR1OF9SUBCI
2@PAYTM-YE ENTERPRISES-PAYTMQR1OF9SUBCI
2@PAYTM-YESBOPTMUPI-422183043656-PAY BY
WHATSAPP",74,0.74291277
[],,,,"01/08/22 UPI-ROHIT KUMAR-7767983051@PAYTM-SBIN00
0000221379142688 5,000.00",74,0.80730563
[1],,,,"19/11/23 UPI-RAJ SUPER MARKET-PAYTMQR281005050101
0000332308540472 78.00",74,0.79775572
[2],,,,"24/02/24 UPI-RAJ SUPER MARKET-PAYTMQR281005050101
0000405515484724 55.00",75,0.77699238
[2],,,,"26/12/24 UPI-436136210714-F3628B6A619048E4BE92136
0000000111081608 14,858.00",75,0.77946019
[7],,,,"05/01/23 UPI-RAJ SUPER MARKET-PAYTMQR281005050101
0000300564808635 85.00",75,0.80187434
[6],,,,"ALAM-PYARE.PURJAMAL.PUR.MU
ZFFAR.PUR@OKSBI-SBIN0010335-101872713741",76,0.78028899
[7],,,,SINGH-PAYTMQR167LUN@PAYTM-YESBOP,76,0.75968826
[8],,,,23/08/24 UPI-AJEET 15.00,77,0.74130249
[6],,,,"KUMAR-PAYTMQR281005050101LOBV
JOZWLQKN@PAYTM-PYTM0123456-232359610537",77,0.77621537
[3],,,,"FILIAKF3KFXV@PAYTM-PYTM0123456-336511210
551-UPI",78,0.78262812
[],,,,"TIWARI-PAYTMQR9M3WRO3GJY@PAY
TM-PYTM0123456-401412931504-UPI",78,0.8220582
[6],,,,22/03/25 UPI-KOMAL 500.00,78,0.77627701
[2],,,,"PR-ZEPTOMARKETPLAC
846299.RZP@RXAIRTEL-AIRP0000011-69501633",78,0.70492929
[6],,,,"03/11/24 UPI-AMIT KUMAR-7767984663 IDFC@YBL-IDFB00
0000105565666809 11,300.00",78,0.8099618
[4],,,,SINGH-PAYTMQR167LUN@PAYTM-YESBOP,78,0.75279409
[1],,,,"10/08/22 UPI-CRED-CRED.CCBP@YESBANK-YESB0000022-2
0000 5,000.00",78,0.79838389
[4],,,,"27/11/23 UPI-SWIGGY-SWIGGYSTORES@ICICI-ICIC0DC009
0000333135238513 299.00",78,0.78216434
[8],,,,"KAR-PAYTMQR118VTA2R
BY@PAYTM-PYTM0123456-407062499707-UPI",79,0.7772845
[3],,,,"27/08/23 UPI-AVINASH KUMAR
0000323949614443 60.00",79,0.75111932
[1],,,,"19/12/24 UPI-KOMAL RANI-7507438491-3@YBL-UTIB0005
0000010518772367 600.00",79,0.7762267
[3],,,,"24/12/22 UPI-AMIT KUMAR-7767984663@YBL-SBIN00104
0000272497209529 25,000.00",79,0.80068767
[],,,,261-PAYMENT FROM PHONE,79,0.77037776
[3],,,,01/01/24 UPI-SHIVAJI LAHU 360.00,80,0.78085446
[5],,,,"21/01/24 UPI-SAURABH KUMAR-7875226959@AXL-SBIN00
0000438740045298 70,000.00",80,0.82278037
[3],,,,"24/05/25 UPI-XION APARTMENTS MALL-VYAPAR. 17085458
0000541949448310 70.00",80,0.70385534
[9],,,,"30/09/24 UPI-MANOJ ENTERPRISES-MANOJ.ENT@ICICI-IC
0000427496092666 150.00",80,0.75364554
[9],,,,"21/03/24 UPI-ROHIT KUMAR-NSROHIT 16-1@OKICICI-CITI
0000444721547625 1,200.00",81,0.77505857
[3],,,,"08/08/24 UPI-KOMAL RANI-7507438491-3@YBL-UTIB0005
0000422142101490 300.00",81,0.73971415
[2],,,,"08/11/22 UPI-KOMAL 10,000.00",81,0.76503325
[6],,,,"23/03/25 UPI-MR ABHISHEK KUMAR-BHARATPE.90067785
0000079422255243 100.00",82,0.77353835
[5],,,,"IB BILLPAY DR-HDFC97-361010XXXX0144
MB25125522510T25 25,000.00",82,0.79012644
[4],,,,"30/09/22 UPI-SAURABH KUMAR-7875226959@AXL-SBIN00
0000263938713736 34,020.00",82,0.79860115
[8],,,,18/12/23 UPI-HEMLATA V 456.00,82,0.77431083
[2],,,,"24/08/23 UPI-RAJ SUPER MARKET-PAYTMQR281005050101
0000323667949270 120.00",83,0.74863994
[8],,,,"ESBOYBLUPI-409672380950-PAYMENT FROM PHO
NE",83,0.77447581
[5],,,,02/01/23 UPI-AMIT 350.00,83,0.79435796
[],,,,"28/12/23 UPI-RAJ SUPER MARKET-PAYTMQR281005050101
0000336200551381 25.00",84,0.74331176
[4],,,,"17/01/24 UPI-RAJ SUPER MARKET-PAYTMQR281005050101
0000401738706273 45.00",84,0.82019675
[4],,,,"31/05/25 IMPS-515117355192-KUMAR SHANTINIKETAN 1
0000515117355192 31 6,750.00",84,0.70419198
[4],,,,17/09/24 UPI-JAY 15.00,84,0.74699241
[9],,,,"22/03/24 UPI-ROHIT KUMAR-NSROHIT16-1@OKICICI-CITI
0000444885564040 40,000.00",85,0.76875687
[6],,,,"30/10/24 UPI-ROHIT KUMAR-NSROHIT16-3@OKSBI-IDFB00
0000430406675003 620.00",85,0.77664614
[4],,,,"01/01/25 UPI-KAILASH BABAN
0000850570837757 120.00",85,0.76856339
[],,,,MARKET-PAYTMQR1NMKJI9DB6@P,85,0.73193884
[4],,,,"13/11/22 UPI-MAHALAXMI SUPER
0000268387569405 257.00",85,0.76297849
[7],,,,"28/03/25 ACH DEBIT RETURN CHARGES 100325 100325-
MIR2508564495654 28/ 531.00",86,0.77424991
[6],,,,"15/10/22 NWD-416021XXXXXX9659-00195054-TEZPUR
0000228813023512 3,000.00",86,0.79237646
[7],,,,"UTIBOAXLUPI-370693505639-PAYMENT FROM PH
ONE",86,0.76725411
[4],,,,WFH7N@PAYTM-PYTM0123456-330271030762-UPI,87,0.74785912
[2],,,,"IMPS-421710335633-ROHIT KUMAR-DBSS-XXXXX
0000421710335633 1.00",87,0.72643423
[9],,,,HDFC,87,0.79160088
[4],,,,"02/01/24 UPI-RAJ SUPER MARKET-PAYTMQR281005050101
0000400282918050 28.00",88,0.74405289
[7],,,,"YESBOYBLUPI-438936711195-PAYMENT FROM PH
ONE",88,0.81357747
[4],,,,UPI-KRISHNA HARDWARE 100.00,88,0.68149203
[8],,,,"28/09/24 UPI-RAJ SUPER MARKET-PAYTMQR281005050101
0000427209612561 40.00",88,0.74055928
[6],,,,"04/01/23 UPI-AMIT KUMAR-7767984663@YBL-SBIN00104
0000337046497873 25,000.00",88,0.79070514
[7],,,,"06/12/23 UPI-JIOIN APP DIRECT-JIOINAPPDIRECT@AXL-
0000370693505639 25.00",88,0.76426542
[8],,,,"11/03/24 NWD-416021XXXXXX9659-13547621-PUNE CITY 10,000.00",89,0.76567203
[],,,,"04/07/23 UPI-ROHIT KUMAR-7767983051@YBL-CITI00000
0000318502083858 04/07/23 7,000.00",89,0.74422771
[5],,,,"25/10/24 A2AINT01 - - ZERODHA PENNYDROP: PHOTYZ5
0000000817923689 0.01",89,0.74381763
[2],,,,"27/12/24 UPI-BALU VIJAYKUMAR
0000313420090510 201.00",89,0.76593924
[9],,,,"COMPA-PAYTMQR28100505
01013YFGQL4ONHJ8@PAYTM-PYTM0123456-23361",89,0.76272333
[5],,,,"19/01/24 UPI-RAJ SUPER MARKET-PAYTMQR281005050101
0000401929977070 25.00",90,0.79779547
[4],,,,"16/03/25 UPI-KOMAL RANI-7507438491-3@YBL-UTIB0005
0000239990127384 2,000.00",90,0.76441163
[4],,,,MARKET-PAYTMQR1NMKJI9DB6@P,90,0.72742492
[8],,,,"24/10/22 UPI-MANPASAND
0000229714008008 130.00",90,0.78425658
[4],,,,"YESBOYBLUPI-183465111860-PAYMENT FROM PH
ONE",91,0.67422837
[1],,,,"YESBOYBLUPI-267514329885-PAYMENT FROM PH
ONE",91,0.76160538
[3],,,,FACTORY-PAYTMQR86S2D0E7E,92,0.74266785
[2],,,,ESBOYBLUPI-421710315726-PAY BY WHATSAPP,92,0.72383523
[4],,,,"ENTERPRISES-PAYTMQR1OF9SUBCI
2@PAYTM-YESBOPTMUPI-425613768890-PAY BY
WHATSAPP",92,0.73943281
[6],,,,"HOTEL-PAYTMQR2810050501015L4
YEODN2K11@PAYTM-PYTM0123456-300560595177",92,0.78769141
[8],,,,"19/12/23 UPI-AMIT KUMAR-7767984663@YBL-SBIN00104
0000371996505937 15,000.00",92,0.76031303
[5],,,,"FILIAKF3KFXV@PAYTM-PYTM0123456-406087004
182-UPI",93,0.76411939
[1],,,,29/04/25 UPI-LIVPURE SMART HOMES 529.00,93,0.65447706
[8],,,,"PANDEY-PAYTMQRLO3OT0S0TL@PAYT
M-PYTM0123456-331423016375-UPI",93,0.7293247
[8],,,,"26/11/24 UPI-KOMAL RANI-7507438491-3@YBL-UTIB0005
0000836071582288 15,000.00",93,0.73508745
[8],,,,"18/01/25 UPI-MALLIKARJUN SHARNAPP-BAJAJPAY.687972
0000850234833505 18/01 20.00",93,0.76658058
[6],,,,OYBLUPI-268832472245-PAYMENT FROM PHONE,93,0.76103961
[4],,,,"02/01/24 UPI-RAJ SUPER MARKET-PAYTMQR281005050101
0000400285842731 194.00",94,0.7419064
[6],,,,"UPI-CHITRALI PROPERTIES -Q002543444@YBL-
0000438936711195 30.00",94,0.7962938
[],,,,"11/02/25 UPI-LALU-PYARELALCHAUDHARY84-1@OKICICI-M
0000249398003404 1,500.00",94,0.75655359
[],,,,"12/07/24 UPI-DEEPAK LAL-8177846549@AXL-BKID000062
0000419402781295 135.00",94,0.7206136
[8],,,,28/09/24 UPI-LAXMAN 190.00,94,0.73731029
[],,,,"10/12/22 UPI-IRANI CAFE-PAYTMQR28100505010117RB53
0000234411784874 85.00",94,0.77909613
[2],,,,"19/08/22 POS 416021XXXXXX9659 KA BRI WAR RESOR
0000000000019832 314.00",94,0.78160495
[1],,,,22/02/24 UPI-RAMDAS DHONDIRAM 14.00,95,0.75752169
[],,,,"15/07/23 UPI-ROHIT KUMAR-7767983051@YBL-CITI00000
0000319611109891 15/07/23 1,000.00",95,0.72507071
[3],,,,092-PAYMENT FROM PHONE,95,0.7554552
[2],,,,"24/11/23 UPI-MR DINESH-PAYTMQR2810050501018A6UDIY
0000332871756282 280.00",96,0.75109792
[1],,,,"BILLDESK-NSDL.BILLDESK@HDFCBANK
-HDFC0000240-401564377329-PAY",97,0.79254603
[2],,,,15/05/25 7.00,97,0.64887345
[6],,,,"UPI-ROHIT KUMAR-NSROHIT16-3@OKICICI-DBSS
0000430406798807 30/ 6,700.00",97,0.73028815
[4],,,,"30/12/24 1,500.00",97,0.76138288
[],,,,ZGSAZKCO75TF@PAYTM-PYTM0123456-230753287,97,0.75294542
[3],,,,31/12/23 UPI-KAILAS 35.00,98,0.73577738
[3],,,,"10/03/25 UPI-LUXMI BHAINI BHANDAR-AMITK368901-1@O
0000 700.00",98,0.75739902
[1],,,,"SINGH-PAYTMQR167LUN@PAYTM-YESBOP
TMUPI-419518803782-UPI",98,0.70840669
[6],,,,"23/09/24 UPI-KOMAL 11,000.00",98,0.72790951
[],,,,"COMPA-PAYTMQR28100505
01013YFGQL4ONHJ8@PAYTM-PYTM0123456-23465",98,0.77503383
[],,,,"06/08/22 UPI-ROHIT KUMAR-NSROHIT16-2@OKAXIS-CITIO
0000221819 15,000.00",98,0.77952719
[],,,,"SIN-PAYTMQR4WR66Y9P
14@PAYTM-PYTM0123456-401430579840-UPI",99,0.78322625
[1],,,,"MARKET-PAYTMQR1NMKJI9DB6@P
AYTM-PYTM0123456-405338214391-UPI",99,0.75514764
[1],,,,"04/11/22 UPI-VIJAY SAHU-PAYTMQR28100505010114LK8I
0000230832894098 40.00",99,0.75074071
[1],,,,"FCBANK-HDFC0001756-026965586607-PAYMENT
FROM PHONE",100,0.64766818
[7],,,,"07/11/23 UPI-HAPPY DA 1,413.00",100,0.72537154
[8],,,,"11/11/24 UPI-KOMAL 3,000.00",100,0.73060632
[7],,,,"15/01/25 UPI-RAVIRAJ VITTHALRAO K-9158305088@YBL-
0000144428942026 330.00",100,0.74804795
[3],,,,MARKET-PAYTMQR1NMKJI9DB6@P,100,0.70897746
[3],,,,PRAJAP-PAYTMQR28100505,100,0.77500319
[7],,,,"16/12/23 POS 416021XXXXXX9659 PATANJALI YOG PE
0000335015499122 1,395.00",100,0.75049645
[],,,,"POS 416021XXXXXX9659 HARDCASTLE RESTA
0000401416396407 50.99",101,0.78142875
[6],,,,02/03/24 700.00,101,0.74465281
[9],,,,"07/01/24 UPI-SAURABH KUMAR-7875226959@AXL-SBIN00
0000437362681196 17,000.00",102,0.73385978
[6],,,,"22/03/25 UPI-RAUSHAN KUMAR-BAJAJPAY.6879729.05337
0000251711489101 40.00",102,0.75303131
[3],,,,"30/05/25 UPI-ROHIT 8,419.00",102,0.64378005
[5],,,,"SINGH-PAYTMQR167LUN@PAYTM-YESBOP
TMUPI-422623530846-PAY BY WHATSAPP",102,0.70267177
[3],,,,"ENTERPRISES-PAYTMQR1OF9SUBCI
2@PAYTM-YESBOPTMUPI-425042319433-PAY BY
WHATSAPP",102,0.72573674
[3],,,,2UVI93S5F3ML@PAYTM-PYTM0123456-235687828,102,0.77258503
[1],,,,"15/08/22 UPI-ANKIT KUMAR 15/08/22 10,000.00",102,0.76858252
[5],,,,"15/11/22 UPI-ROHIT KUMAR-7767983051@AXL-CITI00000
0000231983417992 15/11/22 8,961.00",103,0.74810261
[],,,,"14/01/24 UPI-VISHAL GHANSHYAM
0000401430579840 255.00",104,0.77919805
[4],,,,"26/02/24 UPI-DROGHERIA SELLERS PR-CF.DROGHERIASEL
0000405770554720 343.60",104,0.73436654
[],,,,"05/07/23 UPI-SPOTIFY INDIA-SPOTIFY.BDSI@ICICI-ICI
0000318632477236 59.00",104,0.72080642
[],,,,MARKET-PAYTMQR1NMKJI9DB6@P,104,0.72885478
[8],,,,"22/01/25 UPI-ZERODHA BROKING 10,000.00",104,0.74650222
[8],,,,26/08/24 UPI-KOMAL 500.00,104,0.69317108
[3],,,,MARKET-PAYTMQR1NMKJI9DB6@P,104,0.72330773
[3],,,,PRAJAP-PAYTMQR28100505,104,0.76868409
[1],,,,"18/11/23 UPI-KOMAL RANI-7507438491@YBL-CITI000000
0000332205642404 18/11/23 2,000.00",104,0.74695188
[4],,,,"03/01/24 UPI-ROHIT KUMAR-NSROHIT 16-1@OKICICI-CITI
0000436905280092 03 15,000.00",106,0.72664213
[6],,,,"22/03/25 UPI-KHURSHID 2,500.00",106,0.75327909
[3],,,,19/05/25 UPI-ROHIT 5.00,106,0.60741043
[6],,,,06/11/24 06/11/24 390.00,106,0.72722119
[1],,,,SHO-PAYTMQR1RX4YLXG,106,0.72191912
[8],,,,123-PAYMENT FROM PHONE,106,0.76489598
